timestamp,ax
1,0.09521
2,0.09473
3,0.11084
4,0.09229
5,0.11035
6,0.11426
7,0.09717
8,0.11646
9,0.10669
10,0.11743
11,0.10815
12,0.08350
13,0.12012
14,0.09839
15,0.09766
16,0.11694
