25206;0.098;-0.051;1.034;-4.550;-44.107;2.015;-0.166;0.299;0.031
25207;0.090;-0.042;0.991;-4.397;-44.107;1.344;-0.435;0.979;-0.023
25208;0.104;-0.061;0.937;-4.580;-43.618;1.847;0.192;-0.345;-0.184
25209;0.112;-0.062;0.916;-4.687;-44.626;0.748;0.210;-0.417;0.048
25210;0.125;-0.064;0.885;-4.656;-44.214;1.328;-0.381;0.908;-0.041
25211;0.094;-0.046;0.970;-4.489;-44.336;1.511;-0.023;0.496;0.048
25212;0.101;-0.060;0.919;-4.901;-44.305;1.634;0.210;-0.721;0.066
25213;0.122;-0.056;0.887;-4.687;-44.076;0.809;-0.148;0.192;-0.023
25214;0.111;-0.044;0.885;-4.427;-44.000;1.832;-0.489;1.051;0.013
25215;0.114;-0.054;0.936;-4.779;-44.015;1.450;-0.041;-0.148;0.031
25216;0.111;-0.040;0.949;-4.427;-44.015;1.740;0.263;-0.489;-0.005
25217;0.106;-0.043;0.955;-4.489;-43.847;1.008;-0.381;1.230;0.048
25218;0.107;-0.058;0.977;-4.901;-44.168;1.191;-0.345;0.764;-0.077
25219;0.091;-0.037;0.952;-4.916;-43.908;1.313;0.156;-0.489;-0.041
25220;0.112;-0.040;0.995;-4.489;-44.305;2.275;0.031;0.031;-0.041
25221;0.080;-0.053;0.970;-4.840;-44.305;1.557;-0.506;1.015;-0.005
25222;0.081;-0.066;0.949;-4.595;-44.198;1.160;-0.184;0.048;0.013
25223;0.116;-0.060;0.907;-4.489;-44.107;0.931;0.335;-0.685;0.013
25224;0.114;-0.049;0.909;-4.809;-43.939;2.275;-0.131;0.406;0.031
25225;0.110;-0.039;0.922;-4.382;-44.076;0.885;-0.327;0.818;-0.005
25226;0.108;-0.037;0.938;-4.611;-44.122;1.328;0.138;-0.596;0.013
25227;0.113;-0.053;0.954;-4.397;-44.244;1.359;0.013;-0.292;-0.023
25228;0.116;-0.061;0.927;-4.427;-43.634;1.481;-0.399;0.979;0.031
25229;0.100;-0.043;0.948;-4.550;-44.061;0.702;-0.184;0.317;-0.148
25230;0.107;-0.047;0.988;-4.489;-43.954;1.191;0.281;-0.632;0.031
25231;0.084;-0.051;0.953;-4.702;-44.107;1.313;-0.327;0.389;0.031
25232;0.100;-0.053;0.968;-4.443;-44.107;1.450;-0.363;0.890;-0.005
25233;0.112;-0.040;0.960;-4.656;-43.969;0.473;0.084;-0.310;-0.023
25234;0.100;-0.039;0.958;-4.275;-43.847;1.405;0.210;-0.363;0.102
25235;0.112;-0.057;0.977;-4.580;-43.924;1.450;-0.345;0.890;-0.023
25236;0.104;-0.046;0.971;-4.351;-44.351;1.511;-0.041;0.406;-0.041
25237;0.101;-0.057;0.958;-4.824;-43.924;1.237;0.281;-0.650;-0.023
25238;0.104;-0.065;0.963;-4.489;-43.679;1.298;0.031;0.210;-0.005
25239;0.101;-0.035;0.975;-4.580;-43.939;1.298;-0.381;0.943;-0.005
25240;0.112;-0.024;0.966;-4.321;-44.031;1.115;0.031;-0.148;-0.131
25241;0.109;-0.057;0.946;-4.183;-44.244;1.405;0.138;-0.310;0.066
25242;0.118;-0.058;0.990;-4.977;-44.305;1.145;-0.345;0.693;-0.041
25243;0.114;-0.051;0.874;-4.397;-44.015;1.817;-0.184;0.621;-0.041
25244;0.105;-0.047;0.899;-4.779;-44.153;1.267;-0.023;-0.399;0.048
25245;0.109;-0.046;0.953;-5.038;-43.954;1.725;-0.077;0.156;-0.023
25246;0.106;-0.049;0.973;-4.153;-44.092;0.840;-0.453;0.979;-0.023
25247;0.097;-0.056;0.990;-4.855;-44.092;1.420;0.013;0.174;-0.005
25248;0.095;-0.063;0.965;-4.580;-43.863;1.115;0.210;-0.202;0.048
25249;0.085;-0.066;0.970;-4.458;-43.969;1.695;-0.131;0.424;-0.023
25250;0.116;-0.022;0.957;-4.534;-44.351;0.824;-0.274;0.800;-0.041
25251;0.073;-0.039;1.004;-4.718;-44.611;1.084;0.174;-0.489;-0.005
25252;0.102;-0.066;0.953;-4.260;-44.168;1.221;0.066;-0.202;-0.041
25253;0.114;-0.058;0.904;-4.626;-44.061;1.374;-0.345;0.836;0.013
25254;0.107;-0.052;0.892;-4.656;-43.908;0.794;0.013;0.263;0.031
25255;0.119;-0.039;0.918;-4.916;-43.756;1.206;0.263;-0.632;-0.023
25256;0.106;-0.039;0.962;-4.351;-44.137;0.916;-0.148;0.317;0.013
25257;0.101;-0.047;0.976;-4.412;-43.847;1.863;-0.310;0.836;0.048
25258;0.079;-0.057;0.982;-4.794;-43.710;1.130;0.102;-0.238;-0.005
25259;0.112;-0.049;0.942;-4.855;-44.260;1.099;0.156;-0.345;-0.005
25260;0.096;-0.043;0.981;-4.595;-43.740;1.481;-0.310;0.818;0.013
25261;0.081;-0.044;1.029;-4.595;-44.092;1.573;-0.005;0.442;-0.005
25262;0.088;-0.055;1.021;-4.779;-44.321;0.947;0.263;-0.560;0.013
25263;0.094;-0.053;0.969;-4.397;-44.260;1.481;-0.095;0.156;0.048
25264;0.116;-0.039;0.919;-4.397;-44.122;1.328;-0.345;0.782;-0.005
25265;0.122;-0.042;0.895;-4.565;-44.168;2.366;-0.005;-0.220;-0.005
25266;0.112;-0.042;0.924;-4.611;-44.061;0.214;0.227;-0.399;-0.023
25267;0.114;-0.054;0.937;-4.565;-44.092;1.450;-0.184;0.585;-0.041
25268;0.110;-0.048;0.917;-4.733;-43.954;1.420;-0.041;0.639;-0.023
25269;0.116;-0.044;0.935;-4.779;-43.863;1.389;0.138;-0.453;0.031
25270;0.098;-0.044;0.960;-4.473;-44.092;0.366;-0.041;0.013;-0.041
25271;0.099;-0.051;1.017;-4.580;-43.771;1.847;-0.471;0.961;-0.113
25272;0.085;-0.053;1.017;-4.595;-43.924;1.725;-0.005;0.102;0.102
25273;0.091;-0.046;0.995;-4.336;-44.015;1.802;0.120;-0.506;-0.023
25274;0.104;-0.043;0.945;-4.641;-43.893;0.229;-0.292;0.353;-0.023
25275;0.104;-0.043;1.008;-4.534;-43.893;1.878;-0.202;0.729;-0.041
25276;0.094;-0.052;1.006;-4.595;-43.924;1.679;0.066;-0.399;-0.005
25277;0.092;-0.048;0.985;-4.305;-44.214;1.328;0.102;-0.131;-0.023
25278;0.110;-0.055;0.934;-4.534;-44.153;1.069;-0.184;0.747;-0.023
25279;0.113;-0.053;0.941;-4.519;-44.061;1.695;-0.005;0.210;-0.005
25280;0.110;-0.042;0.932;-4.885;-44.107;1.099;0.371;-0.685;0.048
25281;0.117;-0.048;0.969;-4.855;-44.153;1.359;-0.148;0.245;-0.005
25282;0.098;-0.049;0.971;-4.611;-44.076;0.183;-0.256;0.818;-0.005
25283;0.097;-0.044;0.957;-4.748;-44.214;1.847;-0.113;-0.131;-0.041
25284;0.108;-0.047;0.960;-4.595;-44.000;1.435;0.066;-0.310;-0.041
25285;0.112;-0.044;0.965;-4.595;-44.000;1.282;-0.381;0.764;-0.005
25286;0.105;-0.042;0.978;-4.534;-43.588;0.977;-0.005;0.389;0.120
25287;0.079;-0.038;0.989;-4.351;-43.893;1.939;0.138;-0.381;0.048
25288;0.105;-0.042;0.970;-4.427;-44.321;1.359;-0.041;0.138;0.013
25289;0.110;-0.049;0.923;-4.901;-44.641;1.924;-0.327;0.908;-0.041
25290;0.113;-0.054;0.917;-4.519;-43.939;1.298;-0.023;-0.059;-0.023
25291;0.095;-0.035;1.007;-4.504;-44.092;1.618;0.263;-0.453;-0.005
25292;0.083;-0.048;0.976;-4.550;-44.076;0.336;-0.238;0.514;0.048
25293;0.112;-0.051;0.924;-4.641;-44.733;1.130;-0.148;0.639;-0.041
25294;0.128;-0.043;0.887;-4.824;-44.076;1.298;0.102;-0.381;-0.077
25295;0.125;-0.054;0.920;-4.672;-43.603;2.092;-0.095;0.066;0.013
25296;0.109;-0.044;0.934;-4.550;-43.939;1.313;-0.363;0.800;-0.005
25297;0.093;-0.060;0.972;-4.748;-43.740;1.405;-0.041;0.227;0.013
25298;0.103;-0.048;1.010;-4.779;-43.969;1.145;0.084;-0.381;-0.023
25299;0.101;-0.043;0.981;-4.489;-43.985;2.275;-0.113;0.353;-0.041
25300;0.115;-0.064;0.993;-4.107;-43.863;0.794;-0.220;0.729;0.174
25301;0.103;-0.047;0.986;-4.565;-43.756;1.618;0.013;-0.238;-0.041
25302;0.084;-0.040;0.993;-4.092;-43.679;1.252;-0.041;-0.095;-0.041
25303;0.104;-0.045;0.989;-4.427;-43.893;1.344;-0.310;0.747;0.048
